dir,text
sumiao1.jpg,a drawing of a mountain with trees and birds flying over it and a bird flying over the mountain top
wuguanzhong_3.jpg,a black and white photo of a wall and a tree in the background with a black and white photo of a tree
wuguanzhong_31.jpg,a painting of a river with boats in it and a building on the other side of the river and a man in a boat
xishan_linmo1.jpg,a drawing of a man on a horse drawn carriage with a group of horses and a man on a horse
xishan_linmo4.jpg,"a painting of a mountain with a waterfall in the background and trees in the foreground, and a bridge in the distance"
xishan_linmo6.jpg,a painting of a mountain with a waterfall and trees on it's side and a sky background with clouds
xishan.jpg,a painting of a mountain with a waterfall in the middle of it and trees on the other side of the mountain
xishan2.jpeg,a drawing of a mountain with a bridge and trees on it
xishan3_1.jpg,a painting of a mountain with a river and trees in it and a bridge in the distance with a sky background
xishan3_2.jpg,a painting of a mountain landscape with a river and mountains in the background
xishan3_3.jpg,a painting of a mountain with a waterfall
xishan3_4.jpg,a black and white drawing of a waterfall
